customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CustomerLifetimeValue,AvgMonthlyCharges,ServiceCount,HasFamily,IsPaperlessBilling,IsAutomaticPayment,ContractDuration,ChargePerTenure,tenure_group,charge_ratio
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,0,649.35,45.18846153846154,3,1,1,0,1,45.18846153846154,25-50%,0.9046739046739047
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,0,303.2,20.425,1,0,0,1,24,20.425,25-50%,1.0778364116094987
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,0,5820.299999999999,97.95,6,1,0,1,12,97.95,75-100%,0.9760837070254113
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,5081.3,102.78163265306122,7,0,1,1,1,102.78163265306122,50-75%,0.9911439985830398
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,0,2637.5,107.44200000000001,7,0,1,0,1,107.44200000000001,25-50%,1.0184075829383887
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,0,7814.25,114.42246376811593,9,1,0,1,24,114.42246376811593,75-100%,1.010352880954666
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,0,1073.8,19.672115384615385,1,0,0,0,12,19.672115384615385,50-75%,0.9526448128143045
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,0,7575.7,103.97535211267606,7,1,0,1,24,103.97535211267606,75-100%,0.9744644059294851
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1,552.0,52.835,4,1,0,1,1,52.835,25-50%,0.9571557971014493
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,0,1891.05,88.70952380952382,5,0,1,0,1,88.70952380952382,25-50%,0.9851140900557892
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,39.65,39.65,3,0,1,0,1,39.65,0-25%,1.0
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,0,237.60000000000002,16.854166666666668,1,1,0,1,12,16.854166666666668,25-50%,0.8512205387205386
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,1,20.15,20.15,1,0,0,0,1,20.15,0-25%,1.0
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,0,3474.2,60.432758620689654,5,1,1,1,24,60.432758620689654,75-100%,1.0088941339013298
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,2920.4,60.61836734693878,5,1,0,1,1,60.61836734693878,50-75%,1.017086700451993
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0,1659.0,51.019999999999996,4,0,1,1,1,51.019999999999996,50-75%,0.9226039783001808
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1,4669.45,101.04574468085106,6,1,1,0,1,101.04574468085106,50-75%,1.0170683913523006
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,30.2,30.2,2,1,0,0,1,30.2,0-25%,1.0
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,0,6498.0,88.46458333333334,9,1,1,1,24,88.46458333333334,75-100%,0.9802169898430286
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,1099.9,64.3,4,1,1,0,1,64.3,25-50%,0.9938176197836165
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,0,6840.849999999999,95.30915492957746,7,1,1,1,24,95.30915492957746,75-100%,0.9891972488798907
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,191.0,90.825,5,1,1,1,1,90.825,0-25%,0.9510471204188482
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,0,1786.0500000000002,69.42407407407407,6,1,0,0,12,69.42407407407407,25-50%,1.0494946949973405
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,20.2,20.2,1,0,0,1,1,20.2,0-25%,1.0
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,45.25,45.25,2,0,0,1,1,45.25,0-25%,1.0
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,0,7192.8,100.71805555555555,7,1,0,1,24,100.71805555555555,75-100%,1.0081887442998554
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,348.5,63.379999999999995,2,0,1,0,1,63.379999999999995,0-25%,0.909325681492109
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,3440.7999999999997,77.13695652173914,3,0,1,1,1,77.13695652173914,50-75%,1.0312427342478494
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,3615.8999999999996,104.38970588235294,7,0,1,0,1,104.38970588235294,50-75%,0.9815675212256977
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,1076.35,100.4909090909091,6,0,1,1,1,100.4909090909091,25-50%,1.0269893621963118
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,0,495.5,47.57,3,1,0,0,12,47.57,25-50%,0.9600403632694248
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0,4844.0,69.605,6,1,1,1,24,69.605,75-100%,1.0058526011560693
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,0,352.75,24.602941176470587,1,1,0,0,12,24.602941176470587,25-50%,1.1856839121190645
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,0,5030.549999999999,77.16587301587302,8,0,1,1,24,77.16587301587302,75-100%,0.9663853852958425
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,0,990.6,75.49615384615385,7,1,1,0,1,75.49615384615385,25-50%,0.99076317383404
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,0,4140.5,79.72857142857143,4,0,1,0,1,79.72857142857143,50-75%,0.9435333896872358
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,0,98.5,48.5,3,0,0,0,1,48.5,0-25%,0.9847715736040609
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,161.3,72.075,3,0,1,0,1,72.075,0-25%,0.893676379417235
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,0,4147.0,81.11153846153846,7,0,1,1,24,81.11153846153846,50-75%,1.017072582589824
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,0,4426.35,61.6536231884058,6,1,1,1,24,61.6536231884058,75-100%,0.961085318603364
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0,3880.75,89.27325581395348,5,0,1,0,1,89.27325581395348,50-75%,0.9891773497390969
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,1486.5,95.09333333333333,6,0,1,1,1,95.09333333333333,25-50%,0.9595694584594686
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,1737.5,70.10600000000001,6,1,1,1,1,70.10600000000001,25-50%,1.0087194244604316
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,645.2,79.1625,4,1,1,1,1,79.1625,0-25%,0.9815561066336018
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,0,4491.0,74.27250000000001,7,1,1,1,12,74.27250000000001,75-100%,0.9922845691382767
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,1718.1000000000001,97.36388888888888,5,0,1,0,1,97.36388888888888,25-50%,1.0200512193702345
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0,6277.950000000001,100.17777777777778,6,1,1,1,12,100.17777777777778,75-100%,1.005296314879857
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,0,7157.7,107.21742424242424,8,1,1,0,12,107.21742424242424,75-100%,0.9886346172653228
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,0,848.3,26.302941176470586,2,1,0,1,24,26.302941176470586,50-75%,1.0542260992573382
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0,7740.0,109.07916666666667,7,0,1,1,24,109.07916666666667,75-100%,1.01468992248062
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,0,4723.5,100.15106382978725,6,1,1,0,1,100.15106382978725,50-75%,0.9965279983063408
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,5394.0,90.845,5,0,1,1,1,90.845,75-100%,1.010511679644049
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,0,3031.2000000000003,41.138888888888886,4,1,0,1,24,41.138888888888886,75-100%,0.977170757455793
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,0,979.1999999999999,53.172222222222224,4,1,1,1,12,53.172222222222224,25-50%,0.9774305555555557
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,849.6,95.25,5,0,0,0,1,95.25,0-25%,1.0090042372881356
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0,225.89999999999998,81.36666666666666,6,0,1,0,1,81.36666666666666,0-25%,1.0805666223992918
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,0,3708.3,77.66702127659575,4,1,1,0,12,77.66702127659575,50-75%,0.9843728932394897
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,0,2455.2000000000003,80.55483870967741,7,0,0,0,24,80.55483870967741,50-75%,1.0171065493646136
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0,1007.4999999999999,18.618,1,1,0,1,24,18.618,50-75%,0.9239702233250621
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,0,798.5,88.735,4,0,1,0,1,88.735,25-50%,1.1112711333750782
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,0,49.05,49.05,3,0,0,0,1,49.05,0-25%,1.0
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,0,1060.8,20.974038461538463,1,1,1,0,12,20.974038461538463,50-75%,1.0281391402714934
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,7142.4,110.921875,8,1,1,1,24,110.921875,75-100%,0.9939236111111112
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,1503.5,22.97741935483871,2,1,1,1,24,22.97741935483871,75-100%,0.9475224476222148
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,193.5,59.13333333333333,5,1,1,1,1,59.13333333333333,0-25%,0.9167958656330749
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,0,6188.0,109.63392857142857,8,0,0,0,12,109.63392857142857,75-100%,0.9921622495151907
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,0,2559.9,58.45326086956521,3,0,0,1,12,58.45326086956521,50-75%,1.0503730614477127
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,0,437.2,60.28125,4,1,0,0,1,60.28125,0-25%,1.10304208600183
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0,2242.5,70.37666666666668,6,0,1,0,1,70.37666666666668,50-75%,0.9414938684503903
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,0,1165.5,27.035555555555554,2,1,1,1,12,27.035555555555554,50-75%,1.0438438438438438
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,79.35,79.35,3,1,1,0,1,79.35,0-25%,1.0
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,0,556.05,51.39545454545455,4,1,0,0,1,51.39545454545455,25-50%,1.0167251146479634
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,526.0500000000001,70.98571428571428,3,1,1,1,1,70.98571428571428,0-25%,0.9445870164433037
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,4359.599999999999,103.03571428571429,7,0,1,1,1,103.03571428571429,50-75%,0.9926369391687312
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,987.3499999999999,19.864285714285714,1,1,1,1,24,19.864285714285714,50-75%,0.9858206309819214
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,893.6999999999999,102.08333333333333,6,0,1,1,1,102.08333333333333,0-25%,1.0280295401141324
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,2175.25,63.29857142857142,4,1,1,1,12,63.29857142857142,50-75%,1.0184806344098378
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,0,991.1999999999999,22.020833333333332,1,1,0,1,24,22.020833333333332,50-75%,1.0663841807909604
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,0,917.6999999999999,20.15434782608696,1,1,1,0,24,20.15434782608696,50-75%,1.0102429988013513
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,0,978.75,34.80172413793103,2,1,0,0,1,34.80172413793103,25-50%,1.031162196679438
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,2461.5,85.67333333333333,4,1,0,1,1,85.67333333333333,50-75%,1.0441600650010157
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,0,74.7,74.7,3,0,0,0,1,74.7,0-25%,1.0
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,0,5544.0,86.57954545454545,8,1,1,0,24,86.57954545454545,75-100%,1.0307088744588744
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0,7218.25,109.33846153846154,8,0,1,1,1,109.33846153846154,75-100%,0.9845876770685416
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,7264.8,103.59791666666666,7,0,1,1,24,103.59791666666666,75-100%,1.0267385199867856
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,947.4000000000001,77.27916666666667,4,0,1,0,1,77.27916666666667,25-50%,0.9788368165505593
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,0,4746.349999999999,66.8830985915493,6,1,1,1,12,66.8830985915493,75-100%,1.0004951173006627
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,1,105.25,22.77,1,0,0,0,1,22.77,0-25%,1.081710213776722
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,0,1092.0,21.292307692307695,1,0,0,1,24,21.292307692307695,50-75%,1.0139194139194139
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,2462.5,100.58,6,1,1,0,1,100.58,25-50%,1.0211167512690356
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,0,20.2,20.2,1,0,0,0,1,20.2,0-25%,1.0
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,0,19.45,19.45,1,1,0,0,1,19.45,0-25%,1.0
7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,0,3610.0,94.88421052631578,6,0,0,1,12,94.88421052631578,50-75%,0.998781163434903
5386-THSLQ,Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,0,3006.2999999999997,45.86742424242424,4,1,0,1,12,45.86742424242424,75-100%,1.0069686990652964
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,7480.0,111.93897058823529,8,1,1,1,24,111.93897058823529,75-100%,1.0176270053475935
6180-YBIQI,Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,0,121.5,20.04,1,0,0,0,1,20.04,0-25%,0.8246913580246914
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,0,7498.8,101.43125,7,1,1,0,12,101.43125,75-100%,0.9738958233317331
9750-BOOHV,Female,0,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,0,964.8,28.9890625,2,0,0,0,12,28.9890625,50-75%,0.9614946102819237
8597-CWYHH,Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,0,4057.0499999999997,91.19302325581396,5,0,0,0,12,91.19302325581396,50-75%,0.9665397271416425
2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,0,1396.8,18.93402777777778,1,1,0,1,24,18.93402777777778,75-100%,0.9759808132875144
